标题,介绍
上工机械ZLD110/65-3-M2-CS钻孔机, ZLD系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和软……
上工机械ZLD220/85-3-M2-CS超级三轴式连续墙钻孔机,ZLD超级系列三轴式连续墙钻孔机是应用于SMW工法的新一代地基加固施工设备，达到国际先进水平，具有完全自主知识产权，可广泛应用于高层建筑、地铁车站的深基坑围护，江河堤坝的防渗加固和……
上工机械ZLD110/65-3-M2三轴式连续墙钻孔机,ZLD110/65-3-M2三轴式连续墙钻孔机是应用于SMW工法的基础施工设备，该系列钻孔机是上海工程机械厂有限公司采用国外先进技术开发的……
钻通zt-18型钻机,……
徐工XZ450水平定向钻机,采用闭式节能回路、负荷敏感控制、电液比例控制等多项先进的控制技术，进口元件，质量可靠；2、齿轮齿条推拉，保证动力头运行的稳定性和传动的可靠性……
德威土行孙DDW-2000水平定向钻,该定向钻机为钢制履带底盘，同时可选配橡胶板方便城市施工。钻架可滑移，使钻进角度调节范围大;高强度齿轮齿条机构输出效率高、可靠性强……
中海恒通HT-12C非开挖定向钻机,HT-12C钻机特点&gt;&gt;1.滑架推进机构快慢速两档，提高空载作业效率;2.回转动力头采用矿山钻机动力头，更适用于干式和湿式钻进，并提高湿式钻进使用寿命;3.双液压夹持器……
德航重工DH1600B-L水平定向钻,……
威猛D100x120水平定向钻机,"长度 410"" (1040cm) 宽度 93"" (236cm) 高度 118"" (300cm) 操作重量 39,000 lbs (17,690 kg) 最大主轴扭矩 12,000f……"
钻通ZT-25型非开挖铺管钻机,ZT-25型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为进口或合资产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
徐工XZ400A水平定向钻,·动力强劲：采用179kW柴油发动机，具有涡轮增矩特性，保证钻机能在各种复杂地质条件下，完成铺管作业……
德威土行孙MFD-180水平定向钻,MFD-180是一台履带式多功能钻机……
中海恒通HT-32L非开挖定向钻机,2012新款HT-32L钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
威猛D150x300水平定向钻机,"长度 53.5"" (165.2cm) 宽度 100"" (254cm) 高度 139"" (353cm) 操作重量 76,000 lbs (34,473.02kg) 最大主轴扭矩 30……"
钻通ZT-150型非开挖铺管钻机,ZT-150型定向钻进铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
徐工XZ6600水平定向钻,项目单位参数发动机型号沃尔沃??发动机额定功率KW565X2推拉方式齿轮齿条最大回拖 / 进给力kN6600/6600动力头最大扭矩N.m160000动力头转速r/min0-90动……
德威土行孙DDW-180水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，配有机载泥浆泵(240L/min)和开放式控制室……
徐工XG360连续墙抓斗,·应用徐工成熟技术制造的旋挖钻机底盘，结实的箱型臂架，具有超强稳定性；·选用进口康明斯QSL9－C325电喷涡轮增压发动机（欧Ⅲ），动力强劲，低噪音，低排放……
三一重工SH350连续墙抓斗,·采用超强力、大扭矩、电控、直喷、涡轮增压、中冷型、国际先进的卡特C7发动机，具有高可靠性，燃油经济性，满足欧美非公路机动设备第三阶段排放标准；·动力系统与液压系统恒功率完美匹配，……
德国宝峨GB 40地下连续墙液压抓斗,名称德国宝峨GB 40地下连续墙液压抓斗型号GB 40主机型号BH75主机下车型号UW65发动机型号QSC8.3C-275发动机功率（千瓦）213主卷扬单绳拉力（千牛）170成槽厚……
中车TG40地下连续墙液压抓斗,（1）采用CAT可伸缩底盘，便于运输，提高作业的稳定性。（2）采用C9发动机，符合欧洲、北美的排放标准。所有液压元件均采用力士乐等欧美著名专业公司产品……
土力机械BH-12液压抓斗,特点：土力公司抓斗设计理念为地连墙开挖领域带来了一项技术创新……
中联重科ZDG360地下连续墙液压抓斗, ZDG360是中联重科精心打造的常规型地下连续墙施工作业成槽设备，其底盘精选原装康明斯、力士乐等国际知名品牌发动机、液压件及电器元件，由中联重科研发团队针对各种施工工况下进行动力……
泰信机械KH400机械式连续墙抓斗,性能特点常规型地下连续墙施工作业成槽设备，其工作装置可以借用履带吊设备进行作业，实现了“一机多能”的国际化理念，具有强劲动力、可靠性与稳定性高的特点……
海天路矿LKB618安装钻杆现场,型号:KLB618动力头功率:430减速机2X37K或；450减速机配2X37Kw或2X45KW最大钻孔直径:600mm钻孔深度:18m钻杆转速:31r/min输入扭矩:22．8K……
卡萨阁蓝地B400 KRC液压抓斗,……
山河智能SWHG42连续墙液压抓斗,同步双卷扬系统，最大提升力达到420KN，提放速度快，施工效率高，大直径长轴滚筒，钢丝绳使用寿命长……
上海金泰SG40B液压连续墙抓斗,主要技术参数Technical Parameters主机型号/Model of base carrierSG40B成槽宽度/Wall width (m)0.35-1.2成槽深度/W……
徐工XG450D连续墙液压抓斗,·应用徐工成熟技术制造的连续墙液压抓斗专用底盘，结实的箱型臂架，具有超强稳定性；卷扬采用单排绳前、后卷扬布局，配合先进的电、液系统大副提高钢丝绳使用寿命和系统稳定性；抓斗体采用框架……
三一重工SH400连续墙抓斗,·龙门导向式和框架焊接式两种工作装置可供用户选配；·采用超强力、大扭矩、电控、直喷、涡轮增压、中冷型、国际先进的康明斯QSL9-C325发动机，具有高可靠性，燃油经济性，满足欧美非……
德国宝峨GB 50地下连续墙液压抓斗,名称德国宝峨GB50地下连续墙液压抓斗型号GB50主机型号BT70D主机下车型号UW95发动机型号CATC7发动机功率（千瓦）261主卷扬单绳拉力（千牛）250成槽厚度（米）0.4……
钻通ZT-45型非开挖铺管钻机,……
钻通ZT-600型非开挖铺管钻机,……
钻通ZT-33型非开挖铺管钻机,……
钻通ZT-60F型非开挖铺管钻机,……
钻通ZT-25型非开挖铺管钻机,ZT-25型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为进口或合资产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
钻通ZT-25CDF型非开挖铺管钻机,ZT-25CDF型定向钻进铺管钻机回转系统采用无级调速，闭式液压系统，回转泵采用美国sauer泵，可靠性高，回转马达采用美国sauer大扭矩单马达……
钻通ZT-35A型非开挖铺管钻机,ZT-35A型非开挖铺管钻机为履带自行走式全液压定向钻进铺管钻机……
钻通ZT-36型非开挖铺管钻机,ZT-36型非开挖铺管钻机为履带自行走式全液压定向钻进铺管钻机……
钻通ZT-40/65型非开挖铺管钻机,ZT-40/65型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头)均为原装进口产品，柴油机为世界著名品牌康明斯，动力强劲，性能可靠……
钻通ZT-60D型非开挖铺管钻机,ZT-60D型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
钻通ZT-400型非开挖铺管钻机,一、概述ZT-400型非开挖铺管钻机为分体结构，易运输;该机全液压驱动，性能可靠，操作方便，适应性强。整机分为三大块：钻架、动力站、控向室……
钻通ZT-300型非开挖铺管钻机,ZT-300型非开挖铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
钻通ZT-150型非开挖铺管钻机,ZT-150型定向钻进铺管钻机采用钢履带底盘，动力站和钻机一体化结构，其液压件(包括油泵、马达、液压阀、减速机等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
钻通ZT-80/105型非开挖铺管钻机,主要特点：齿轮-齿条，给进-回拉机构，动力头运行平稳、可靠、免维修2、动力头主轴通径76mm，便于使用泥浆马达3、液压虎钳可全程移动，方便拧卸钻杆4、机载驾驶室集中控制带空调，操作……
海天路矿冲扩桩机,……
新天和ZYC600B液压静力压桩机,预制桩的静压施工是利用静压力将预制桩平稳地压入地基的一种新型环保桩基础施工法。到八十年代随着压桩机械的发展和环保意识的增强逐步得到推广……
东达YZYD300、YZYD400、YZYD500、YZYD600型顶压式液压静力压桩机,该系列压桩机是我公司为适应市场需求新近推出的大吨位桩工设备，它是靠自身重量来平衡沉桩过程中的阻力，当静压力大于桩的入土阻力，桩就沿入土方向按加压设备的工作速度被逐步压入土中……
坤宇重装液压静力压桩机,液压静力压桩机是一种大型的建筑基础施工机械设备。完全依靠液压静力将桩平稳、安静地压入地基。是一种非常独特的无公害桩基础施工法。随着科学技术的发展和人们环保意识的增强而全面推广应用……
八达工程机械YZ系列静力夯扩压桩机,YZ系列静力夯扩压桩机是我厂最新研制开发拳头产品……
中昇ZSP880全液压静力压桩机,我公司根据市场需求及国内外压桩机发展的趋势，在广泛吸收其他压桩机先进技术的基础上研制成功了大型压桩机ZSP880型全液压静力压桩机。最大压桩力可达880T……
振中JZB90/JZB200/JZB240步履式多功能桩机,·JZB型步履沉拔桩架是我公司和北京建筑机械化研究院共同开发的采用船形轨道步履行走，三点支承的新型沉拔桩架……
山河智能ZYJ800液压静力压桩机, 高效节能的准恒功率压桩系统 人性化的司机室及简明清晰的操作台两对先后参与压桩的液压缸和与之匹配的液压系统形成的准恒功率压桩系统是本桩机核心专利技术之一，在高效节能方面取得了突破性……
方圆JZL60电动履带式压桩机,立柱高30.5m，可根据实际工程要求进行组合，安装成不同高度，立柱采用三点支撑方式，斜撑调整采用摆线减速机构，调整方便、可靠……
浙江建机YZY-600静力压桩机,YZY-600全液压静力压桩机是一种大吨位、低噪音、无振动、无污染的桩基础施工机械……
恒天九五JVY60A压桩机,JVY系列液压静力压桩机拥有多项国家专利，是一种新颖的环保型建筑施工设备，具有无污染、无噪声、无震动、压桩速度快、成桩质量高等显著特点，代表未来桩工机械的发展方向……
三一重工SF558电液桩,·转场便捷：液压伸缩式履带设计，确保在工作/自行走/公路运输/铁路运输状态下均具有高安全性和高可靠性；·行走稳定，作业安全：接地尺寸大，接地比压小，桩机前后装有4个液压支腿，行走稳……
海天路矿民用庄机," 自行式夯扩桩机，卷扬机动力为柴油机22马力（或28马力），主卷扬4T,副卷扬1T ,2-3人即可施工，适用于建筑基础施工，在施工中可将建筑垃圾填入夯实，桩承载是普通桩的1.5倍-……"
新天和ZYC500B-B液压静力压桩机,预制桩的静压施工是利用静压力将预制桩平稳地压入地基的一种新型环保桩基础施工法。到八十年代随着压桩机械的发展和环保意识的增强逐步得到推广……
中车TAR12A锚杆钻机,方便装卸钻杆，工作时可把动力头小车导轨所在平面调整到与竖直面垂直或成小角度，可方便进行装卸钻杆作业，且在卸钻杆时无需工人进行抬接钻杆，钻杆自由落地后再搬运至指定地点，可避免发生夹、……
山河智能SWMD97多功能锚杆钻机,▲ 行走双速，移机方便；大节距宽履带，接地比压小。▲ 装配有前、后稳定支腿，可靠的保障钻机施工时的稳定性。▲ 钻架运动范围大，适应工作面广；给进/起拔力大、速度快……
恒特DMC200旋转冲击式钻机,   DMC200全液压旋转冲击式钻机系国内首创，动力头为冲击和旋转一体化设计，并具有反打功能;不仅能使钻机快速钻进一般岩层，而且实现了沙砾层以及鹅卵石层的迅速钻进;特别适合于基坑……
建研JD110A全液压履带式多功能钻机,我院与建研公司是锚杆钻机行业标准的主编单位及归口管理单位……
德国宝峨KR 805-2多功能全液压钻机,名称德国宝峨KR805-2多功能全液压钻机型号KR805-2动力头型号KD1828R动力头最大扭矩（千牛米）18冲击功（牛米）900冲击频率（次/分钟）2100发动机功率（千瓦）1……
上海金泰C6XP-C液压履带式多功能钻机,底盘/Undercarriage底盘宽度(mm)2250履带板宽度(mm)400履带长度(mm)2990行走速度(km/h)0-2.2最大爬坡能力(%)37接地比压(N/cm2)6……
宇通重工YTA820锚杆钻,YTA820锚杆钻机引进德国胡特技术，在产品结构形式、液压工作原理、动力头组合样式、施工工艺方法等方面都具备国内领先地位……
土力机械SM14多功能微桩机,1，可变履带间距的旋挖钻机专业底盘(土力专利)，底盘履带总宽度可扩展，利于钻机的稳定性。三齿片履带板，低重心及配重的可调整设计布置，既保证了整机的稳定性，又满足运输的要求……
山河智能SWMD150多功能锚杆钻机,▲ 行走双速，移机方便；大节距宽履带，接地比压小。▲ 装配有前、后稳定支腿，可靠的保障钻机施工时的稳定性。▲ 钻架运动范围大，适应工作面广；给进/起拔力大、速度快……
恒特DMC150液压旋转冲击式钻机,整机重量TotalWeight15000Kg运输尺寸（长×宽×高）OverallDimensions(L×W×H)7750*2280*2780行走速度TravelSpeed2-5K……
建研JD180B履带式多功能钻机,●高品质的配套件和最优化的匹配配套件均采用世界知名品牌的产品（如德国、意大利、美国、英国进口的液压件，韩国东明的行走机构等等），整机配置完全可以与进口钻机相篦美，配置科学、合理，性……
土力机械SC-120吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
土力机械SC-135吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
土力机械SC-65吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
土力机械SC-40吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
土力机械SC-20吊机,土力公司已开发出全系列多功能吊机，能力从20吨-120吨主机均为多功能设计，可以直接配置成以下设备：?打桩?液压双轮铣?深土层搅拌（喷搅工法）?液压震锤?摆管器?锤抓?液压动力头?……
德国宝峨KR 909-1多功能全液压钻机,名称德国宝峨KR909-1多功能全液压钻机型号KR 909-1动力头型号DEUTZTCD2013L42V动力头最大扭矩（千牛米）18冲击功（牛米）900冲击频率（次/分钟）2100……
土力机械SM-21多功能微桩机,1，可变履带间距的旋挖钻机专业底盘(土力专利)，底盘履带总宽度可扩展，利于钻机的稳定性。三齿片履带板，低重心及配重的可调整设计布置，既保证了整机的稳定性，又满足运输的要求……
建研JD110B全液压履带式多功能钻机,●高品质的配套件和最优化的匹配配套件均采用世界知名品牌的产品（如德国、意大利、美国、英国进口的液压件，韩国东明的行走机构等等），整机配置完全可以与进口钻机相篦美，配置科学、合理，性……
新天和CFG30液压步履式长螺旋钻机,? CFG系列液压步履式长螺旋钻机是公司集多年桩工机械制造及施工经验基础上研发的新品。? 包括桩架和钻进系统，结构合理，技术先进，性能可靠，比传统机型具有明显优势……
长河机械ZLB系列长螺旋钻机,ZLB系列步履式长螺旋钻孔机适用于钻孔灌注桩、挤扩桩、软地基处理等各种基础工程，广泛应用于城建、能源、交通等中高层及桥梁基础施工工法。该机采用液压步履式行走，360度回转……
华丰CFG26型/28型长螺旋钻孔机,名称CFG-26型CFG-28型钻孔直径（mm）400、600800400、600800钻孔深度（m）26222823动力头功率(kW)55x255x2动力头最大扭矩（kN.m）3……
华夏JZL120 JZL90型长螺旋钻孔机,……
坤宇重装KY系列长螺旋钻孔机,KY系列长螺旋钻孔机特点The characteristics of KY series bore pilling machineKY系列钻孔机是地基与基础处理设备，适用于CFG、……
泰信机械KA2000液压螺旋钻,1.螺旋钻机装配可以根据用户对钻孔直径和钻孔深度的要求，定制相应的钻机和钻具型号，螺旋钻机到客户手中可以直接使用，节省用户前期准备时间，用户也可根据零部件图表对螺旋钻机结构和各部分……
徐工XR150DCAF长螺旋钻孔机,一机多用，通过更换工作装置分别实现CFA工法和旋挖钻工法施工……
宇通重工YTZ26长螺旋钻机,YTZ系列长螺旋钻机是一种多功能、低成本、高效率的灌注桩成孔机械，具有全部电液驱动、步履行走、360度回转等功能。可打死角桩位，整机设计新颖，操作方便，施工高效，转场快捷……
三力机械CFG-20型长螺旋钻孔机,CFG系列长螺旋深孔钻机是由河南省三力机械制造有限公司独立研制，制造生产的桩工机械产品。该系列产品是国家级工法--CFG工法专用施工钻机……
海天路矿电线杆钻孔机, 本机适用于冲打电线杆孔，高压电塔基础孔，一般地层打一个孔10-20分钟。本机也适用于软基础处理，建筑基础打桩，打井等工程……
上海金泰ZKD65-3A多轴钻孔机,"ZKD系列多轴钻孔机是采用国外先进技术（SMW工法），针对我国国情而开发的一种新型钻机，其特点:防水性好,施工深度大,挡土性能好,施工费用低……"
山河智能SWSD3618套管式螺旋钻机,▲全液压驱动双动力头、恒功率变量、大扭矩输出 --全液压驱动的动力头具有恒功率变量的动力性能、转速可随负载自动调整，输出扭矩大、过载能力强，比电动式动力头体积更小、重量更轻、工作更……
方圆JZL电动履带式桩机,……
土力机械SF-50长螺旋钻孔机,1，可变履带间距的旋挖钻机专业底盘(土力专利)，底盘履带总宽度可扩展，利于钻机的稳定性。三齿片履带板，低重心及配重的可调整设计布置，既保证了整机的稳定性，又满足运输的要求……
上海金泰SC35液压铣削搅拌钻机,SC35液压铣削搅拌钻机结合了液压铣槽机的设备技术特点和深层搅拌技术，在更为复杂的地质条件下完成地下连续墙搅拌施工……
土力机械SC135卷管式铣槽机,型号 最大深度 槽宽 洗轮扭矩 发动机功率 操作重量 SC135 120米（标准）/150米（特殊） 700-2000mm/2600-3200mm 78-153KNm 708KW ……
上海金泰SC50液压铣削搅拌钻机,SC50液压铣销搅拌钻机结合了液压铣槽机的设备技术特点和深层搅拌技术，与金泰自主研发的SM桩架配套，可在复杂地质条件下可完成最深50m的搅拌成墙施工……
土力机械SC120悬挂式铣槽机,型号 最大深度 槽宽 洗轮扭矩 发动机功率 操作重量 SC120 62米 700-1800mm/2600-3200mm 87-123KNm 653KW 约185吨……
上海金泰SX40双轮铣, 主要技术参数TechnicalParameters成槽宽度/Wallwidth(m)0.8-1成槽深度/Walldepth(m)60卷扬机提升拉力/Pullforceofwinc……
德国宝峨MC 96重载循环工作吊车,名称德国宝峨MC96重载循环工作吊车型号MC96最大起重能力（吨）130最大桅杆长度（米）45.4发动机型号CATC18标配发动机功率（千瓦）570主卷扬机（千牛）2x350主卷扬……
德国宝峨MC 128重载循环工作吊车,名称德国宝峨MC128重载循环工作吊车型号MC  128最大起重能力（吨）200最大桅杆长度（米）54.4发动机型号CATC27标配发动机功率（千瓦）709主卷扬机（千牛）2x35……
德国宝峨MC 64重载循环工作吊车,名称德国宝峨MC64重载循环工作吊车型号MC 64最大起重能力（吨）100最大桅杆长度（米）48.4发动机型号CATC18发动机功率（千瓦）570主卷扬机（千牛）2x250主卷扬机……
宏大钻孔HD118液压潜孔钻机,"HD118潜孔钻机是HD系列型钻机的经济版，为了提高产品的综合性能，本机型提高了提升机构,行走机构及整套系统液压元件的使用寿命及可靠性，发动机为双缸，从而大大降低油耗……"
志高ZGY-100气液联动潜孔钻,该型号结构简单、操作方便、价格低廉、节约能源，同时还具有钻凿垂直及水平爆破孔的功能，特别是整机可拆性好，因此搬迁运输极为方便……
重庆博山HCD38潜孔钻机,本新型钻机结构优良，配置高、性能好、效率高、灵活便捷……
海天路矿XZ型民用钻机,适用于民房建筑，楼房建筑基础施工……
古河DCR20液压潜孔钻机,产品介绍▲卓越的工作性能游刃有余，大功率环保引擎和先进的技术。高速并强大的钻孔性能。▲舒适的操作环境更开阔的视野，更舒适安全的驾驶室。更便捷的智能化操作环境……
上海振中NV系列潜孔锤凿岩钻机,产品描述：NV潜孔锤凿岩钻机在岩石层、块石层、沙层、黏土层、沙砾层、卵石层、软石、中硬石、硬石层等硬的岩层和一般的土质都能进行桩基础施工。另外还可以适用于临时挡土的工程建设……
山河智能SWDE200一体化潜孔钻机,（1）高效a、独特的长钻架结构，减少了钻机换杆的辅助时间、提高工作效率。可配装7-12m长钻杆，在台阶高度小于12m时采用单钻杆效果尤为显著……
四通重工KQ200A型潜孔钻机,……
宏大钻孔KQG138液压潜孔钻机,KQG138潜孔钻机是一种多用途内燃驱动的履带式液压自行式钻机，它装有大功率柴油发动机，强大的液压动力使您在大孔径钻凿和超深孔钻进中得心应手……
志高ZGYX-451一体式露天潜孔钻车,一体式钻车，配载138SCY—14.5中风压空压机，加装干式集尘装置，玉柴柴油机……
海天路矿XZ型旋转钻机,……
古河PCR-DTH-II风动式潜孔钻机,产品介绍▲旋转凿岩机的构造▲外形尺寸图……
山河智能SWDE165一体化潜孔钻机,（1）高效a、独特的长钻架结构，减少了钻机换杆的辅助时间、提高工作效率。可配装7-12m长钻杆，在台阶高度小于12m时采用单钻杆效果尤为显著……
四通重工KQG系列高风压潜孔钻机,……
泰信机械DTR-2005H全回转全套管钻机,钻孔直径mm?1000~?2000回转扭距kN·m2965/1752/990瞬时3391回转速度rpm1.0/1.7/2.9套管下压力kN最大600KN+自重260KN套管起拔力k……
上海金泰SZ80-35液式多功能钻机,型号TypeSZ80-35主机动力系统/Powersystem电动机功率/Dieselenginepower(kW)4×110电动机转速/Max.rotationspeed(rpm……
中车TRT-200H全回转全套管钻孔机全套管钻机,是集全液压动力和传动，机、电、液联合控制于一体的新型钻机；全部采用原装进口发动机及液压件，可更好的保证设备动力及传动的可靠性2、低噪音环保:3、成桩和成孔质量高；4、可在各种复杂地……
盾安DTR1305L全套管钻机,工作装置主要技术参数型号 DTR1305L 钻孔直径(mm) Φ600~Φ1300回转扭矩 (kN·m) 1770/1050/590 回转速度 (rpm) 1.5/2.6/4.5套……
泰信机械DTR-1505全回转全套管钻机,钻孔直径mm?800~?1500回转扭距kN·m1500/975/600瞬时1800回转速度rpm1.6/2.46/4.0套管下压力kN最大360KN+自重210KN套管起拔力kN……
泰信机械KW800截梁机,技术参数 钎杆最大压力  280kN液压油缸最大行程  135mm液压油缸最大压力  30MPa单根油缸最大流量  20L/min单次截梁尺寸(长×高) 250×200mm适合截梁……
泰信机械KP400S/KP450S液压截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，实现高效的桩头破除施工；●可与多种工程机械自由联接，真正实现产品的通用性和经济性……
泰信机械KP380A截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，5项独有专利技术，实现高效的桩头破除施工；●采用现金的模块化设计，变换模块组合数量，满足不同桩径施工；●可与多种工程机械自由联接，真……
泰信机械KP315A液压截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，5项独有专利技术，实现高效的桩头破除施工；●采用现金的模块化设计，变换模块组合数量，满足不同桩径施工；●可与多种工程机械自由联接，真……
泰信机械KP500S液压截桩机,性能特点●领先的全液压式截桩设备，填补国内空白，实现高效的桩头破除施工；●可与多种工程机械自由联接，真正实现产品的通用性和经济性……
盾安DTR2605H全套管钻机,工作装置主要技术参数型号 DTR2605H 钻孔直径(mm) Φ1200~Φ2600回转扭矩 (kN·m) 5292/3127/1766 瞬时 6174回转速度 (rpm) 0.6……
泰信机械DTR-1305全回转全套管钻机,钻孔直径mm?600~?1300回转扭距kN·m1770/1050/590回转速度rpm1.5/2.6/4.5套管下压力kN最大360KN+自重190KN套管起拔力kN2690压拔……
盾安DTR2005H全套管钻机,工作装置主要技术参数型号 DTR2005H 钻孔直径(mm) Φ1000~Φ2000回转扭矩 (kN·m) 2965/1752/990 瞬时 3391回转速度 (rpm) 1.0/……
泰信机械DTR-3205H全回转全套管钻机,钻孔直径mm?2000~?3200回转扭距kN·m9080/5368/3034瞬时10593回转速度rpm0.6/1.0/1.8套管下压力kN最大1100KN+自重600KN套管起……
盾安DTR1500全套管钻机,工作装置主要技术参数型号 DTR1500 钻孔直径(mm) Φ800~Φ1500回转扭矩 (kN·m) 1500/975/600 瞬时 1800回转速度 (rpm) 1.6/2.4……
泰信机械DTR-2605H全回转全套管钻机,钻孔直径mm?1200~?2600回转扭距kN·m5292/3127/1766瞬时6174回转速度rpm0.6/1.0/1.8套管下压力kN最大830KN+自重350KN套管起拔力……
宇通重工YTCR200全套管钻机,YTCR全套管钻机是我公司应用最新技术和现代设计手段自主开发的一种新型钻机，整机由工作装置、液压动力站及遥控控制箱三部分组成，是一种新型环保、高效的钻进设备，在城市地铁、深基坑维护……
上海金泰SQ45全液压循环钻机,SQ45型钻机是一种全液压控制的新型桩工机械产品。融合了现代全液压桩工机械的新技术和新工艺，同时也吸收保留了经典的传统工艺；整机操作轻便灵活，机动性好，作业效率高……
上海金泰GD-25全液压大口径钻机, 单位GD-25钻孔最大直径/Max.drillingdiameterm2.5钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforce……
上海金泰GD-30全液压大口径钻机, 单位GD-30钻孔最大直径/Max.drillingdiameterm3.0钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforce……
上海金泰GD-35全液压大口径钻机,单位GD-35钻孔最大直径/Max.drillingdiameterm3.5钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforcet……
上海金泰GD-40全液压大口径钻机,  单位GD-40钻孔最大直径/Max.drillingdiameterm4.0钻孔最大深度/Max.drillingdepthm150最大提升力/Max.hoistingforc……
上海金泰GPS-10工程钻机, 型号GPS-10底座通孔直径/Diameterofhole(m)1钻孔深度/Drillingdepth(m)50转盘最大扭矩/TorqueofRotarytable（kN.m）8……
上海金泰GPS-15工程钻机,型号GPS-15底座通孔直径/Diameterofhole(m)1.5钻孔深度/Drillingdepth(m)50转盘最大扭矩/TorqueofRotarytable（kN.m）……
上海金泰GPS-18工程钻机, 型号GPS-18底座通孔直径/Diameterofhole(m)1.8钻孔深度/Drillingdepth(m)100转盘最大扭矩/TorqueofRotarytable（kN.……
上海金泰GPS-20工程钻机,型号GPS-20底座通孔直径/Diameterofhole(m)2钻孔深度/Drillingdepth(m)100转盘最大扭矩/TorqueofRotarytable（kN.m）3……
上海金泰GPS-22工程钻机, 型号GPS-22底座通孔直径/Diameterofhole(m)2.2钻孔深度/Drillingdepth(m)100转盘最大扭矩/TorqueofRotarytable（kN.……
上海金泰GPS-25D工程钻机,型号GPS-25D底座通孔直径/Diameterofhole(m)2.5钻孔深度/Drillingdepth(m)130转盘最大扭矩/TorqueofRotarytable（kN.……
上海金泰SPJ-300水文水井钻机, 钻机型号/ModelofdrillingrigSPJ-300钻机形式/Type散装钻孔深度/DrillingDepth(m)300钻孔直径/Diameterofhole(mm)4……
上海金泰SPJT-300水文水井钻机,钻机型号/ModelofdrillingrigSPJT-300钻机形式/Type拖车钻孔深度/DrillingDepth(m)300钻孔直径/Diameterofhole(mm)4……
上海金泰SPJC-300水文水井钻机, 钻机型号/ModelofdrillingrigSPJC-300钻机形式/Type车装钻孔深度/DrillingDepth(m)300钻孔直径/Diameterofhole(mm)……
程力重汽8*4 托吊分离清障车,拖吊连体式清障车主要由底盘、托举机构、起重机构、液压系统、控制系统组成。主要用于道路故障车辆，城市违章车辆及抢险救援等……
楚飞福田时代道路（一拖二）清障车,产品名称：福田时代道路清障车（一拖二）公告批次：188底盘型号：BJ1083VDJFA排放标准：-总质量：8495(Kg)接近/离去角：21/11(°)额定质量：-(Kg)前悬后悬……
中联重科ZLJ5440TQZVLE4X清障车,选用二类汽车底盘改装，采用成熟旋转吊臂型清障车上装.备吊、托、拖等多项功能，操作快捷方便，安全可靠。能及时、快速清理（拯救）事故、故障、违章等车辆，是保证道路畅通的有效工具……
江特江淮国四清障车（环保燃油）,产品商标华通牌公告批次253产品名称清障车产品型号HCQ5083TQZHC型清障车总质量(Kg)8495罐体容积(m3)额定载质量(Kg)外形尺寸(mm)7490×2300×250……
粤工清障车系列,车 型SGG5100TQZ（JYD15）SGG5110TQZ（JYD10）SGG5071TQZ（JYD5A）SGG5072TQZ（JYDK5）SGG5090TQZ（QX3.2)SG……
