标题,内容
三菱GrendiaFD15N内燃平衡重式叉车,型号产地动力形式重量载荷中心距额定功率FD10N日本柴油1000(kg)500(mm)36/2500(kW/rpm)FG(E)10N日本液化气/双燃料1000(kg)5 。
江淮重工CPC30H内燃叉车,型号、规格液力传动CPCD30H机械传动CPC30H动力形式柴油额定载荷kg3000载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm2680车体宽度mm1225总 。
丰田5FD50-60内燃平衡重式叉车,型号5FD505FD60发动机型号14Z-II柴油14Z-II柴油额定负载公斤50006000负载中心毫米600600全宽A毫米19951995转弯半径（外侧）B毫米3350335 。
丰田5FD70内燃平衡重式叉车,型号5FD70发动机型号14Z-II柴油额定负载公斤7000负载中心毫米600全宽A毫米1995转弯半径（外侧）B毫米3400护顶架高C毫米2440至货叉垂直面的长度D毫米3585 。
丰田5FG50-60内燃平衡重式叉车,型号5FG505FG60发动机型号1FZ-E汽油1FZ-E汽油额定负载公斤50006000负载中心毫米600600全宽A毫米19951995转弯半径（外侧）B毫米33503350护 。
丰田60-5FD80内燃平衡重式叉车,型号60-5FD80发动机型号14Z额定负载公斤8000负载中心毫米600全宽A毫米2160转弯半径（外侧）B毫米3700护顶架高C毫米2615至货叉垂直面的长度D毫米3930 。
丰田7FD35-45内燃平衡重式叉车,型号7FD357FD407FD45发动机型号14Z-II柴油14Z-II柴油14Z-II柴油额定负载公斤3500(4000)4000(4500)4500(5000)负载中心毫米60 。
丰田7FG35-45内燃平衡重式叉车,型号7FG357FG407FG45发动机型号1FZ-E汽油1FZ-E汽油1FZ-E汽油额定负载公斤3500(4000)4000(4500)4500(5000)负载中心毫米600(5 。
丰田7FGA50内燃平衡重式叉车,型号7FGA50发动机型号1FZ-E汽油额定负载公斤5000负载中心毫米600全宽A毫米1450转弯半径（外侧）B毫米2800护顶架高C毫米2235至货叉垂直面的长度D毫米3170 。
丰田8FDN15-30内燃平衡重式叉车,"型号8FDN158FDN208FDN258FDN30发动机型号1DZ-Ⅱ1DZ-Ⅱ,2Z1DZ-Ⅱ,2Z1DZ-Ⅱ,2Z额定负载公斤1500200025003000负载中心毫米50 。"
丰田8FGN15-30内燃平衡重式叉车,型号8FGN158FGN208FGN258FGN30发动机型号4Y4Y4Y4Y额定负载公斤1500200025003000负载中心毫米500500500500全宽A毫米107011 。
曼尼通1.5T/1.8T内燃平衡重式叉车,型号CD15PCG15PCD18PCG18P动力形式柴油汽油/液化气柴油汽油/液化气额定载荷kg1500150018001800起升高度mm3300330033553300门架倾角 。
江淮重工CPC42H内燃叉车,型号CPC42H动力形式柴油额定载荷kg4200载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm3099车体宽度mm1500总高mm2260发动机新昌A498BP 。
江淮重工CPC（D）45H内燃叉车,型号CPC45HCPCD45H动力形式柴油柴油额定载荷kg45004500载荷中心距mm500500标准起升高度mm30003000车体长度(无货叉）mm42694170车体宽度m 。
江淮重工CPCD100H内燃叉车,型号CPCD100H规格液力传动动力形式柴油额定载荷kg10000载荷中心距mm600标准起升高度mm3000车体长度(无货叉）mm5478车体宽度mm2245总高mm2560发动 。
江淮重工CPCD40H内燃叉车,型号CPCD40H动力形式柴油额定载荷kg4000载荷中心距mm500标准起升高度mm3000车体长度(无货叉）mm3950车体宽度mm1410总高mm2085发动机国产A498B 。
江淮重工CPCD50H内燃叉车,型号CPCD50H规格液力传动动力形式柴油额定载荷kg5000载荷中心距mm600标准起升高度mm3000车体长度(无货叉）mm4660/4748（新）车体宽度mm1995/200 。
现代CPCD90/100G柴油叉车,"型号CPCD90/100G发动机YC6B120-T22-BB9G1额定功率85/2400kw/rpm叉车自重11,900kg/12,600kg额定起重量9,000/10,000kg 。"
靖江2-3吨M系列内燃叉车,型号承载能力(kg)载荷中心(mm)动力类型标准提升高度(mm)总长度(不含货叉)(mm)车体宽度(mm)总高度(mm)CPC(D)20M2000500柴油机30002530115 。
威肯5吨液力内燃平衡重式叉车,选用知名品牌柴油机作为强大动力保证。变速传动系统采用高可靠液力变速系统。外型结构采用箱体式车架结构，采用新型宽野门架，液压助力转向轻便灵活。整体铸造式驱动桥和板翅式冷却器 。
厦工XG550-DT5A内燃平衡重式叉车,一、延续E系列外观风格先进的外观设计理念E系列5-7吨平衡重式内燃叉车延续了E系列外观风格，整车外观充分体现了现代工业产品实用与时尚并存的设计理念，如完美比例的颜色搭配、配重的“ 。
厦工XG525-DT5内燃平衡重式叉车,一、真正的换代产品全新的外观设计理念E系列2-3.8吨平衡重式内燃叉车是厦工真正意义上的全新换代产品，整车外观充分体现了现代工业产品实用与时尚并存的设计理念，如配重的“V”脸造 。
现代CPC15E柴油叉车,优质分离式组合仪表采用高度集成电子仪表，工作性能可靠，操纵者在操作时可以清晰方便的观察电子仪表的各项数据。同时仪表带有各种警示指示灯，使工作更加安全可靠 。
江淮重工CPC38H内燃叉车,载荷中心mm500自由提升高度mm150门架倾角度前6/后12长度(无货叉)mm2895宽度(车架)mm1250高度(护顶架)mm2085最小转弯半径mm2700发动机新昌A495 。
江淮重工CPCD35J内燃叉车,载荷中心mm500最大起升高度mm3000门架倾角度前6/后12长度(无货叉)mm2805宽度(车架)mm1220高度(护顶架)mm2105最小转弯半径mm2575发动机JAC4 。
山猛CPC30抓管机,主要结构特点：强劲的动力传动由先进的制造技术和设备生产的优质部件与高品质的发动机完美组合而成的动力、传动装置 。
斗山D130S-5大容量叉车,主要特点-强劲高效的斗山柴油机-全气动制动系统-一体化的操纵员仪表板-导控型液压控制阀和控制杆-低排放发动机-可选配可倾斜的操纵舱（带或不带驾驶室）-电控全自动档传动 。
斗山D50S-5内燃平衡重式叉车,主要特点-优化的操纵舒适度和安全性-成熟且坚固耐用的组件-动力强劲、节能和高性能的柴油和LPG发动机，兼具下述特点：低排放，最低限度的振动-更好的维护能力和可维修性-几 。
斗山D30S-5内燃平衡重式叉车,主要特点-旨在改善操纵舒适度的完美措施-动力强劲、节能并且符合Tier-3认证的LPG发动机-几乎免维护的油冷盘式制动-反向传动-提升和倾斜锁定液压控制阀-OSS 。
斗山D60S-5内燃平衡重式叉车,主要特点-最高的操纵舒适度和安全性-坚固耐用的组件-动力强劲、节能和高性能的柴油和LPG发动机，低排放，最低限度的振动-更好的维护能力和可维修性-几乎免维护的油冷盘式 。
依格曼ECPC15A内燃平衡重叉车,主要性能参数表（1.5T）SPECIFICATIONFORSTANDARDPRODUCT(1.5T)参数PARAMETER型号MODELECPC15A单位UNIT性能参数P 。
依格曼ECPCD100A内燃平衡重叉车,主要性能参数表（10T）SPECIFICATIONFORSTANDARDPRODUCT(10T)参数PARAMETER型号MODELECPCD100A单位UNIT性能参数P 。
依格曼ECPCD35A/ECPC35AS内燃平衡重叉车,主要性能参数表（3T）SPECIFICATIONFORSTANDARDPRODUCT(3T)参数PARAMETER型号MODELECPCD35A/ECPC35AS单位UNI 。
依格曼ECPCD60A内燃平衡重叉车,主要性能参数表（6T）SPECIFICATIONFORSTANDARDPRODUCT(6T)参数PARAMETER型号MODELECPCD60A单位UNIT性能参数PERF 。
林德H25/H30内燃叉车,#NAME?。
江淮重工CPC35T内燃叉车,总长（无货叉）mm2789宽度mm1230高度mm2120最小转弯半径mm2500最大起升高度mm3000自重Kg4720 。
